Date,Open,High,Low,Close,Adj Close,Volume
2005-01-01,1.356594,1.362695,1.302999,1.306097,1.306097,0
2005-01-08,1.306097,1.329098,1.305108,1.309895,1.309895,0
2005-01-15,1.309895,1.312905,1.293193,1.299900,1.299900,0
2005-01-22,1.299900,1.312095,1.295404,1.304495,1.304495,0
2005-01-29,1.304495,1.309397,1.285595,1.285793,1.285793,0
2005-02-05,1.285793,1.292992,1.273707,1.285694,1.285694,0
2005-02-12,1.285694,1.309003,1.285694,1.306899,1.306899,0
2005-02-19,1.306899,1.327299,1.303696,1.324609,1.324609,0
2005-02-26,1.324609,1.328004,1.309397,1.324696,1.324696,0
2005-03-05,1.324696,1.347800,1.318496,1.347291,1.347291,0
2005-03-12,1.347291,1.347909,1.326999,1.332197,1.332197,0
2005-03-19,1.332197,1.333191,1.293193,1.295605,1.295605,0
2005-03-26,1.295605,1.304308,1.286107,1.290906,1.290906,0
2005-04-02,1.291206,1.294398,1.280393,1.293494,1.293494,0
2005-04-09,1.293494,1.300001,1.277906,1.287001,1.287001,0
2005-04-16,1.286902,1.311699,1.284802,1.306199,1.306199,0
2005-04-23,1.306199,1.308592,1.285793,1.287598,1.287598,0
2005-04-30,1.287598,1.298701,1.281099,1.281197,1.281197,0
2005-05-07,1.281197,1.290306,1.261098,1.261607,1.261607,0
2005-05-14,1.261607,1.280098,1.254202,1.255698,1.255698,0
2005-05-21,1.255698,1.262897,1.250203,1.258194,1.258194,0
2005-05-28,1.258194,1.258495,1.216693,1.223002,1.223002,0
2005-06-04,1.223002,1.234598,1.211094,1.213695,1.213695,0
2005-06-11,1.213695,1.229196,1.202198,1.227898,1.227898,0
2005-06-18,1.227898,1.229997,1.200595,1.209804,1.209804,0
2005-06-25,1.209804,1.218606,1.193602,1.193602,1.193602,0
2005-07-02,1.193602,1.202993,1.187197,1.198107,1.198107,0
2005-07-09,1.198107,1.225295,1.193802,1.204602,1.204602,0
2005-07-16,1.204602,1.222703,1.195900,1.206098,1.206098,0
2005-07-23,1.206404,1.216397,1.197605,1.212400,1.212400,0
2005-07-30,1.212900,1.239603,1.212195,1.236598,1.236598,0
2005-08-06,1.236598,1.260398,1.231997,1.244493,1.244493,0
2005-08-13,1.244493,1.246603,1.213298,1.215495,1.215495,0
2005-08-20,1.215407,1.234004,1.214993,1.229407,1.229407,0
2005-08-27,1.229407,1.258796,1.217597,1.253306,1.253306,0
2005-09-03,1.253306,1.258606,1.238206,1.241095,1.241095,0
2005-09-10,1.241095,1.243101,1.220197,1.223900,1.223900,0
2005-09-17,1.223900,1.227295,1.204007,1.204094,1.204094,0
2005-09-24,1.204094,1.208007,1.198595,1.202805,1.202805,0
2005-10-01,1.202805,1.220495,1.190405,1.213003,1.213003,0
2005-10-08,1.213003,1.215200,1.191895,1.207700,1.207700,0
2005-10-15,1.207700,1.212106,1.188199,1.195400,1.195400,0
2005-10-22,1.195400,1.217196,1.192506,1.207103,1.207103,0
2005-10-29,1.207103,1.209204,1.180805,1.181307,1.181307,0
2005-11-05,1.181307,1.182998,1.167406,1.173502,1.173502,0
2005-11-12,1.173502,1.178203,1.164850,1.177607,1.177607,0
2005-11-19,1.177607,1.185705,1.169044,1.172498,1.172498,0
2005-11-26,1.172498,1.188495,1.166807,1.171893,1.171893,0
2005-12-03,1.171893,1.184806,1.169098,1.181405,1.181405,0
2005-12-10,1.181405,1.205705,1.177704,1.201403,1.201403,0
2005-12-17,1.201403,1.204007,1.180456,1.187197,1.187197,0
2005-12-24,1.187197,1.193104,1.178300,1.184105,1.184105,0
2005-12-31,1.184105,1.217404,1.181502,1.215407,1.215407,0
2006-01-07,1.215407,1.216101,1.201302,1.214300,1.214300,0
2006-01-14,1.214300,1.217404,1.205400,1.213607,1.213607,0
2006-01-21,1.213607,1.232104,1.209102,1.209395,1.209395,0
2006-01-28,1.209395,1.218457,1.197504,1.202704,1.202704,0
2006-02-04,1.202704,1.204297,1.189499,1.190703,1.190703,0
2006-02-11,1.190703,1.194900,1.185298,1.194201,1.194201,0
2006-02-18,1.194201,1.197504,1.186704,1.187804,1.187804,0
2006-02-25,1.187804,1.204993,1.183194,1.204602,1.204602,0
2006-03-04,1.204602,1.209204,1.186704,1.191100,1.191100,0
2006-03-11,1.191100,1.220405,1.188693,1.219200,1.219200,0
2006-03-18,1.219200,1.220003,1.195700,1.203500,1.203500,0
2006-03-25,1.203500,1.217597,1.198595,1.211504,1.211504,0
2006-04-01,1.211504,1.241095,1.203804,1.209497,1.209497,0
2006-04-08,1.209497,1.216900,1.207802,1.211196,1.211196,0
2006-04-15,1.211196,7.413448,1.210595,1.234096,1.234096,0
2006-04-22,1.234096,1.263807,1.230603,1.263600,1.263600,0
2006-04-29,1.263600,1.276308,1.256202,1.272799,1.272799,0
2006-05-06,1.272799,1.294398,1.266705,1.292992,1.292992,0
2006-05-13,1.292992,1.297303,1.270196,1.276699,1.276699,0
2006-05-20,1.276699,1.288793,1.270293,1.273902,1.273902,0
2006-05-27,1.273902,1.293795,1.272297,1.291806,1.291806,0
2006-06-03,1.291806,1.297656,1.260605,1.264095,1.264095,0
2006-06-10,1.264095,1.267202,1.253400,1.264494,1.264494,0
2006-06-17,1.264494,1.267893,1.248595,1.252395,1.252395,0
2006-06-24,1.252395,1.279492,1.250500,1.278298,1.278298,0
2006-07-01,1.278298,1.285397,1.271100,1.282397,1.282397,0
2006-07-08,1.282397,1.282397,1.262993,1.264398,1.264398,0
2006-07-15,1.264398,1.270696,1.246603,1.270600,1.270600,0
2006-07-22,1.270600,1.276992,1.256408,1.275104,1.275104,0
2006-07-29,1.275104,1.290906,1.272297,1.287896,1.287896,0
2006-08-05,1.287896,1.291005,1.272103,1.272508,1.272508,0
2006-08-12,1.272508,7.245327,1.271100,1.282808,1.282808,0
2006-08-19,1.282808,1.293695,1.273301,1.275705,1.275705,0
2006-08-26,1.275608,1.287797,1.275299,1.283598,1.283598,0
2006-09-02,1.283598,1.287598,1.265999,1.267299,1.267299,0
2006-09-09,1.267299,1.275152,1.263647,1.265102,1.265102,0
2006-09-16,1.265102,1.283005,1.262706,1.280000,1.280000,0
2006-09-23,1.280000,1.282002,1.264398,1.266207,1.266207,0
2006-09-30,1.266207,1.276601,1.257703,1.260398,1.260398,0
2006-10-07,1.260398,1.261400,1.248798,1.250500,1.250500,0
2006-10-14,1.250500,1.264095,1.249204,1.261607,1.261607,0
2006-10-21,1.261607,1.275608,1.252803,1.274307,1.274307,0
2006-10-28,1.274307,1.279394,1.268408,1.270696,1.270696,0
2006-11-04,1.270696,1.289407,1.269358,1.285397,1.285397,0
2006-11-11,1.285397,1.292307,1.276503,1.285000,1.285000,0
2006-11-18,1.285000,1.310496,1.278004,1.308507,1.308507,0
2006-11-25,1.308507,1.334704,1.308404,1.334098,1.334098,0
2006-12-02,1.334098,1.343003,1.319993,1.339405,1.339405,0
2006-12-09,1.339405,1.347092,1.275901,1.309895,1.309895,0
2006-12-16,1.309895,1.324503,1.305602,1.313698,1.313698,0
2006-12-23,1.313698,1.320795,1.309397,1.319801,1.319801,0
2006-12-30,1.319801,1.329398,1.298398,1.298499,1.298499,0
2007-01-06,1.298499,1.304904,1.287101,1.292808,1.292808,0
2007-01-13,1.292808,1.300306,1.290306,1.296899,1.296899,0
2007-01-20,1.296899,1.304393,1.288793,1.292892,1.292892,0
2007-01-27,1.292892,1.304955,1.290006,1.296395,1.296395,0
2007-02-03,1.296395,1.304495,1.291606,1.300695,1.300695,0
2007-02-10,1.300695,1.316898,1.290206,1.313802,1.313802,0
2007-02-17,1.313802,1.318791,1.308507,1.316898,1.316898,0
2007-02-24,1.316898,1.326207,1.313008,1.316500,1.316500,0
2007-03-03,1.316500,1.335399,1.307754,1.311596,1.311596,0
2007-03-10,1.311596,1.334098,1.310101,1.331806,1.331806,0
2007-03-17,1.331806,1.341004,1.327792,1.329699,1.329699,0
2007-03-24,1.329699,1.339656,1.325785,1.335898,1.335898,0
2007-03-31,1.335898,1.344104,1.326295,1.340195,1.340195,0
2007-04-07,1.340195,1.354903,1.330106,1.352100,1.352100,0
2007-04-14,1.352100,1.363754,1.351698,1.358899,1.358899,0
2007-04-21,1.358899,1.371704,1.354793,1.365505,1.365505,0
2007-04-28,1.365505,1.367596,1.353693,1.358899,1.358899,0
2007-05-05,1.358899,1.373796,1.345696,1.352100,1.352100,0
2007-05-12,1.352100,1.361100,1.347092,1.351297,1.351297,0
2007-05-19,1.351297,1.352905,1.341508,1.345008,1.345008,0
2007-05-26,1.345008,1.351808,1.339692,1.344194,1.344194,0
2007-06-02,1.344194,409.836060,1.332996,1.336005,1.336005,0
2007-06-09,1.336005,1.339495,1.326594,1.337900,1.337900,0
2007-06-16,1.337900,1.347291,1.336702,1.347092,1.347092,0
2007-06-23,1.347092,1.355105,1.339405,1.353601,1.353601,0
2007-06-30,1.353601,1.365505,1.352302,1.362992,1.362992,0
2007-07-07,1.362992,1.380891,1.360193,1.378493,1.378493,0
2007-07-14,1.378493,1.384409,1.371103,1.383394,1.383394,0
2007-07-21,1.383394,1.384907,1.362992,1.363605,1.363605,0
2007-07-28,1.363605,1.381597,1.338598,1.378702,1.378702,0
2007-08-04,1.378702,1.384006,1.364796,1.368907,1.368907,0
2007-08-11,1.368907,1.371103,1.338294,1.349400,1.349400,0
2007-08-18,1.349400,1.368701,1.345406,1.366699,1.366699,0
2007-08-25,1.366699,1.372006,1.356502,1.364201,1.364201,0
2007-09-01,1.364201,1.379196,1.355601,1.377505,1.377505,0
2007-09-08,1.377505,1.392409,1.376898,1.387809,1.387809,0
2007-09-15,1.387809,1.411791,1.383394,1.409205,1.409205,0
2007-09-22,1.409205,1.427593,1.406608,1.426493,1.426493,0
2007-09-29,1.426493,1.428204,1.404593,1.413308,1.413308,0
2007-10-06,1.413308,1.423994,1.401699,1.419003,1.419003,0
2007-10-13,1.419003,1.431803,1.414707,1.429695,1.429695,0
2007-10-20,1.429695,1.439906,1.412609,1.439305,1.439305,0
2007-10-27,1.439305,1.452391,1.437794,1.448792,1.448792,0
2007-11-03,1.448792,1.474992,1.445108,1.467502,1.467502,0
2007-11-10,1.467502,1.471995,1.452391,1.463400,1.463400,0
2007-11-17,1.463400,1.495707,1.462394,1.480100,1.480100,0
2007-11-24,1.480100,1.490491,1.361304,1.469594,1.469594,0
2007-12-01,1.469594,1.514693,1.454101,1.465610,1.465610,0
2007-12-08,1.465610,1.474992,1.441504,1.443710,1.443710,0
2007-12-15,1.443710,1.445108,1.431701,1.438807,1.438807,0
2007-12-22,1.438807,1.472993,1.435998,1.471800,1.471800,0
2007-12-29,1.471800,1.481811,1.457301,1.475492,1.475492,0
2008-01-05,1.475492,1.559284,1.464300,1.479006,1.479006,0
2008-01-12,1.479006,1.492003,1.459598,1.461796,1.461796,0
2008-01-19,1.461796,1.477607,1.437298,1.467502,1.467502,0
2008-01-26,1.467502,1.493206,1.466598,1.479991,1.479991,0
2008-02-02,1.479991,1.557099,1.445191,1.557099,1.557099,0
2008-02-09,1.450705,1.470610,1.448205,1.467610,1.467610,0
2008-02-16,1.467610,1.485597,1.461710,1.482602,1.482602,0
2008-02-23,1.482602,1.523810,1.478393,1.519203,1.519203,0
2008-03-01,1.518395,1.543710,1.515289,1.533601,1.533601,0
2008-03-08,1.557099,1.568209,1.528795,1.561792,1.561792,0
2008-03-15,1.561792,1.590306,0.072902,1.569711,1.569711,0
2008-03-22,1.569711,1.585791,1.534590,1.576094,1.576094,0
2008-03-29,1.576094,1.589092,1.551711,1.573688,1.573688,0
2008-04-05,1.573688,1.590306,1.555791,1.582203,1.582203,0
2008-04-12,1.582203,1.597597,1.562305,1.573391,1.573391,0
2008-04-19,1.573391,1.601307,1.556057,1.563697,1.563697,0
2008-04-26,1.563697,1.568800,1.537705,1.543400,1.543400,0
2008-05-03,1.543400,1.559162,1.537090,1.548995,1.548995,0
2008-05-10,1.548995,1.559600,1.537894,1.559600,1.559600,0
2008-05-17,1.559600,1.580878,1.549211,1.578507,1.578507,0
2008-05-24,1.578507,1.581803,1.546790,1.554098,1.554098,0
2008-05-31,1.554098,1.578607,1.537894,1.578507,1.578507,0
2008-06-07,1.578507,1.584209,1.531511,1.536901,1.536901,0
2008-06-14,1.536901,1.565190,1.534401,1.562793,1.562793,0
2008-06-21,1.562793,1.579904,1.547389,1.575299,1.575299,0
2008-06-28,1.575299,1.590508,1.566907,1.571388,1.571388,0
2008-07-05,1.571388,1.594896,1.531394,1.594896,1.594896,0
2008-07-12,1.594896,1.602821,1.579255,1.585389,1.585389,0
2008-07-19,1.585389,1.594210,1.563599,1.567300,1.567300,0
2008-07-26,1.567300,1.576491,1.552602,1.559308,1.559308,0
2008-08-02,1.533413,1.533601,1.499992,1.504891,1.504891,0
2008-08-09,null,null,null,null,null,null
2008-08-16,null,null,null,null,null,null
2008-08-23,1.461903,1.480801,1.457790,1.467093,1.467093,0
2008-08-30,1.467093,1.472407,1.420293,1.427491,1.427491,0
2008-09-06,1.427491,1.505004,1.389700,1.423994,1.423994,0
2008-09-13,1.423994,1.452707,1.408907,1.441795,1.441795,0
2008-09-20,1.441795,1.485707,1.441795,1.459897,1.459897,0
2008-09-27,1.459897,1.463507,1.372006,1.378493,1.378493,0
2008-10-04,1.378493,1.505004,1.328304,1.339800,1.339800,0
2008-10-11,1.339800,1.376103,1.335791,1.342300,1.342300,0
2008-10-18,1.342300,1.352686,1.250500,1.262993,1.262993,0
2008-10-25,1.262993,1.326594,1.234294,1.270196,1.270196,0
2008-11-01,1.270196,1.310307,1.253023,1.271407,1.271407,0
2008-11-08,1.495707,1.508205,1.240095,1.259700,1.259700,0
2008-11-15,1.259700,1.279820,1.243394,1.259097,1.259097,0
2008-11-22,1.259097,1.307412,1.251705,1.269793,1.269793,0
2008-11-29,1.269793,1.284208,1.256297,1.271698,1.271698,0
2008-12-06,1.271698,1.496401,1.265599,1.335399,1.335399,0
2008-12-13,1.335399,1.467998,1.335399,1.392603,1.392603,0
2008-12-20,1.392603,1.414007,1.391208,1.402702,1.402702,0
2008-12-27,1.402702,1.435998,1.384294,1.392292,1.392292,0
2009-01-03,1.392292,1.395790,1.331806,1.345497,1.345497,0
2009-01-10,1.345497,1.349491,1.304308,1.329204,1.329204,0
2009-01-17,1.329204,1.338222,1.277596,1.296496,1.296496,0
2009-01-24,1.296496,1.331505,1.278200,1.283697,1.283697,0
2009-01-31,1.283697,1.306728,1.271003,1.292708,1.292708,0
2009-02-07,1.292708,1.308404,1.273107,1.286604,1.286604,0
2009-02-14,1.286604,1.293293,1.252176,1.293293,1.293293,0
2009-02-21,1.293293,1.298499,1.261400,1.267893,1.267893,0
2009-02-28,1.267893,1.274096,1.246898,1.263807,1.263807,0
2009-03-07,1.263807,1.295437,1.255997,1.292992,1.292992,0
2009-03-14,1.292992,1.373193,1.284406,1.358197,1.358197,0
2009-03-21,1.358197,1.372891,1.326893,1.329204,1.329204,0
2009-03-28,1.329204,1.350694,1.312405,1.348909,1.348909,0
2009-04-04,1.348909,1.357792,1.310170,1.317593,1.317593,0
2009-04-11,1.317593,1.339208,1.302406,1.304495,1.304495,0
2009-04-18,1.304495,1.329893,1.254595,1.325803,1.325803,0
2009-04-25,1.325803,1.338204,1.297236,1.326805,1.326805,0
2009-05-02,1.326805,1.365206,1.321493,1.363903,1.363903,0
2009-05-09,1.363903,1.372100,1.340393,1.350202,1.350202,0
2009-05-16,1.350202,1.405007,1.342805,1.400305,1.400305,0
2009-05-23,1.400305,1.416511,1.379596,1.415709,1.415709,0
2009-05-30,1.415709,1.433692,1.393592,1.397194,1.397194,0
2009-06-06,1.397194,1.419708,1.381082,1.400109,1.400109,0
2009-06-13,1.400109,1.403194,1.375194,1.394700,1.394700,0
2009-06-20,1.394700,1.413807,1.383011,1.405304,1.405304,0
2009-06-27,1.405304,1.419991,1.393553,1.396005,1.396005,0
2009-07-04,1.396005,1.406865,1.383509,1.393398,1.393398,0
2009-07-11,1.393398,1.416110,1.390337,1.410497,1.410497,0
2009-07-18,1.410497,1.422900,1.410199,1.421202,1.421202,0
2009-07-25,1.420293,1.426005,1.401247,1.426005,1.426005,0
2009-08-01,1.426005,1.442231,1.419104,1.419104,1.419104,0
2009-08-08,1.416993,1.428714,1.412769,1.420697,1.420697,0
2009-08-15,1.422091,1.432090,1.408193,1.432090,1.432090,0
2009-08-22,1.430799,1.437690,1.423609,1.435998,1.435998,0
2009-08-29,1.430308,1.434432,1.420313,1.429409,1.429409,0
2009-09-05,1.427796,1.458491,1.427796,1.458002,1.458002,0
2009-09-12,1.458002,1.474404,1.457790,1.471605,1.471605,0
2009-09-19,1.470696,1.483746,1.462801,1.468493,1.468493,0
2009-09-26,1.468493,1.471995,1.451379,1.459002,1.459002,0
2009-10-03,1.459002,1.478393,1.459002,1.473405,1.473405,0
2009-10-10,1.471800,1.495797,1.471800,1.490802,1.490802,0
2009-10-17,1.489403,1.504393,1.488760,1.501006,1.501006,0
2009-10-24,1.501006,1.505911,1.468709,1.473297,1.473297,0
